OID;GYV_KODAS;GTV_KODAS;GTV_PAV;GTV_PAV_PI;GYV_ID;GTV_ID;GTV_R;GTV_RK;GTV_ATR_KO;GAT_KODAS;SHAPE_STLength__
-1;17507;50546;Margavos g.;Margavos g.;6;9307;2001-06-06 00:00:00;2001-06-06 00:00:00;2011-07-08 00:00:00;1252426;850,193638386887756
-1;17507;16254;Užvingių g.;Užvingių g.;6;8027;1998-06-01 00:00:00;1998-08-03 00:00:00;2011-07-08 00:00:00;1456542;1239,724367798334924
-1;17507;16449;Pėstininkų g.;Pėstininkų g.;6;5398;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1241604;334,580079588083663
-1;17507;16465;Pulko g.;Pulko g.;6;5698;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1241346;321,143816244519030
-1;17507;16471;Balno g.;Balno g.;6;585;1998-06-01 00:00:00;1999-01-01 00:00:00;2011-07-08 00:00:00;1436662;189,870241254715239
-1;17507;29658;Garmiškės g.;Garmiškės g.;6;1715;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1829781;248,878870501451729
-1;17507;29656;Vajakiškių g.;Vajakiškių g.;6;8172;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1176303;256,131492815694628
-1;17507;19081;Surgautų g.;Surgautų g.;6;7050;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1851759;189,424408227780702
-1;17507;19233;Vileikos g.;Vileikos g.;6;8590;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1307195;179,097467865619961
-1;17507;19237;Vilkų g.;Vilkų g.;6;8630;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1227866;290,018059412340108
-1;17507;19249;Vištyčio g.;Vištyčio g.;6;8750;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1306351;312,147458523496027
-1;17507;19267;Zapyškio g.;Zapyškio g.;6;8930;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1658962;200,684983853077995
-1;17507;19276;Žarėnų g.;Žarėnų g.;6;9020;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1227589;375,749388309824155
-1;17507;19205;Vasaros g.;Vasaros g.;6;8300;1998-06-01 00:00:00;1998-06-01 00:00:00;2011-07-08 00:00:00;1228001;201,983639761990673
