OID;SAV_KODAS;SAV_ID;SAV_PAV;SEN_KODAS;SEN_ID;SEN_PAV;PLOTAS;SEN_R;SEN_ATR_KO;SHAPE_STArea__;SHAPE_STLength__
-1;19;43;Kauno m. sav.;1903;1394;Šančių sen.;740,119635000000017;2006-01-09 00:00:00;2006-01-09 00:00:00;7401196,345947265625000;11320,283662051038846
-1;19;43;Kauno m. sav.;1902;1393;Žaliakalnio sen.;735,609716000000049;2006-01-09 00:00:00;2006-01-09 00:00:00;7356097,165527343750000;16297,675771172931491
-1;19;43;Kauno m. sav.;1901;1392;Centro sen.;457,794381999999985;2006-01-09 00:00:00;2006-01-09 00:00:00;4577943,822753906250000;11117,177843724612103
-1;19;43;Kauno m. sav.;1905;1396;Gričiupio sen.;381,056296999999972;2006-01-09 00:00:00;2006-01-09 00:00:00;3810562,971923828125000;9160,978679110490702
-1;19;43;Kauno m. sav.;1910;1401;Vilijampolės sen.;1437,220696000000089;2006-01-09 00:00:00;2006-01-09 00:00:00;14372206,960205078125000;28189,251614080483705
-1;19;43;Kauno m. sav.;1904;1395;Dainavos sen.;523,535533999999984;2006-01-09 00:00:00;2006-01-09 00:00:00;5235355,340087890625000;11109,260540035153099
-1;19;43;Kauno m. sav.;1911;1402;Šilainių sen.;2333,840121000000181;2006-01-09 00:00:00;2006-01-09 00:00:00;23338401,212402343750000;28689,920233692271722
-1;19;43;Kauno m. sav.;1906;1397;Petrašiūnų sen.;2847,370159000000058;2006-01-09 00:00:00;2006-01-09 00:00:00;28473701,593750000000000;26620,491114168897184
-1;19;43;Kauno m. sav.;1908;1399;Aleksoto sen.;2422,226737999999841;2006-01-09 00:00:00;2006-01-09 00:00:00;24222267,375244140625000;34188,425341889160336
-1;19;43;Kauno m. sav.;1909;1400;Eigulių sen.;1333,687631999999894;2006-01-09 00:00:00;2006-01-09 00:00:00;13336876,326416015625000;17621,555859227795736
-1;19;43;Kauno m. sav.;1907;1398;Panemunės sen.;2476,028913000000102;2006-01-09 00:00:00;2006-01-09 00:00:00;24760289,135742187500000;31615,908328864265059
