OID;Id;Skirtymas;Tipai_SP;Ilgiai
-1;0;Dviračių takas;Dviračių takas;3,409142224130000
-1;0;Dviračių takas;Dviračių takas;2,151150624910000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;1,528626072790000
-1;0;Dviračių takas;Dviračių takas;1,773299772780000
-1;0;Dviračių takas;Dviračių takas;2,743827170300000
-1;0;Dviračių takas;Dviračių takas;0,054299717068700
-1;0;Dviračių takas;Dviračių takas;2,767729934120000
-1;0;Dviračių eismo juosta;Dviračių takas;4,115054031490000
-1;0;Dviračių takas;Dviračių takas;6,780026006020000
-1;0;Dviračių takas;Dviračių takas;3,938267997480000
-1;0;Dviračių takas;Dviračių takas;1,304693165380000
-1;0;Dviračių takas;Dviračių takas;3,369826729120000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,396519108206000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;1,379461389320000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;1,150551743890000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,332538268488000
-1;0;Dviračių takas;Dviračių takas;0,321925307227000
-1;0;Dviračių takas;Dviračių takas;0,095917882465100
-1;0;Dviračių takas;Dviračių takas;1,929290641480000
-1;0;Dviračių eismo juosta;Dviračių juosta važiuojamoje gatvės dalyje;3,964962857810000
-1;0;E kategorijos g.;Dviračių takas;1,620136332810000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,781025344977000
-1;0;Dviračių takas;Dviračių takas;2,760765927330000
-1;0;Dviračių takas;Dviračių takas;1,110369364220000
-1;0;Rekreacinis takas_alternatyvus;Žaliakelis;1,212541208240000
-1;0;Dviračių takas;Dviračių takas;0,379596418056000
-1;0;Dviračių takas;Dviračių takas;1,489571037650000
-1;0;Dviračių takas;Dviračių takas;0,283863719042000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,212565762190000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,391441139350000
-1;0;Dviračių takas;Dviračių takas;0,508873454795000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;2,465080657690000
-1;0;Rekreacinis takas;Žaliakelis;0,409173025089000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;1,142147960210000
-1;0;Dviračių takas;Dviračių takas;0,958488456545000
-1;0;Dviračių takas;Dviračių takas;6,793808989320000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,893104982887000
-1;0;Dviračių takas;Dviračių takas;2,220880009180000
-1;0;Rekreacinis takas;Žaliakelis;1,238934264790000
-1;0;Dviračių takas;Dviračių takas;2,847847606030000
-1;0;Dviračių takas;Dviračių takas;5,417248315260000
-1;0;Dviračių takas;Dviračių takas;8,008025238009999
-1;0;Dviračių takas;Dviračių takas;5,621459936250000
-1;0;Dviračių takas;Dviračių takas;7,341138522530000
-1;0;Rekreacinis takas;Žaliakelis;1,223159210370000
-1;0;Dviračių takas;Esamas dviračių takas;3,678841837640000
-1;0;Rekreacinis takas;Žaliakelis;0,395785737513000
-1;0;Dviračių takas;Dviračių takas;2,239826288310000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,684793819943000
-1;0;Dviračių takas;Dviračių takas;0,257152386005000
-1;0;Rekreacinis takas;Žaliakelis;0,485257023311000
-1;0;Dviračių takas;Esamas dviračių takas;0,535378443674000
-1;0;Rekreacinis takas;Žaliakelis;0,631743917300000
-1;0;Dviračių eismo juosta;Dviračių juosta važiuojamoje gatvės dalyje;3,479571344760000
-1;0;Dviračių takas;Dviračių takas;3,806308286570000
-1;0;Dviračių takas;Dviračių takas;0,774240080185000
-1;0;-;Esamas dviračių takas;0,611100763960000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,382724726228000
-1;0;Dviračių takas;Dviračių takas;0,180166744458000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,494202569998000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;1,227226607870000
-1;0;Dviračių takas;Esamas dviračių takas;3,058729859390000
-1;0;Dviračių takas;Dviračių takas;0,418076629597000
-1;0;Dviračių takas;Dviračių takas;0,433266014114000
-1;0;Dviračių takas;Dviračių takas;0,515291422953000
-1;0;Dviračių takas;Dviračių takas;0,542364185260000
-1;0;Dviračių takas;Dviračių takas;0,334657093635000
-1;0;Dviračių takas;Dviračių takas;0,419250153942000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;2,453837348540000
-1;0;Dviračių takas;Dviračių takas;2,179798989200000
-1;0;Dviračių eismo juosta;Dviračių takas;4,798886223000000
-1;0;Dviračių takas;Dviračių takas;1,937449166480000
-1;0;Dviračių takas;Dviračių takas;5,206723554740000
-1;0;-;Trasa gatvėje be eismo juostų žymėjimo;0,668356221735000
