OID;Pavadinima;Pradžia;Pabaiga;Vykdytojas;Ministerij;VP_uzdavin;Vertė;Būdas;Pastabos;SHAPE_Leng;Aprasymas;LINK;Etapas;EUR;Shape_STAr;Shape_STLe
-1;Buvusios Aviacijos gamyklos teritorijos konversija;2018;2020;KMSA;VRM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);5000000;R; ;3700,181263930000114;Buvusios Aviacijos gamyklos teritorijos konversija (įrengiant viešąsias erdves, pritaikant ją visuomenės poreikiams ir privačių investicijų pritraukimui);;Nepradėtas;5000000,000000000000000;307325,714599609375000;2933,018698259570101
-1;Marvelės upelio slėnio sutvarkymas, panaudojant teritorijos gamtinio karkaso ypatumus, siekiant netradicinių erdvių pritaikymo kultūros ir kt. reikmėms;2017;2019;KMSA;VRM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);239585;R; ;527,943659830000001;Marvelės upelio slėnio sutvarkymas, panaudojant teritorijos gamtinio karkaso ypatumus, siekiant netradicinių erdvių pritaikymo kultūros ir kt. reikmėms (planuojama sutvarkyti Marvelės upelio slėnį, įrengti viešųjų erdvių infrastruktūrą, mažosios architektūros elementus, pritaikant teritoriją visuomenės poreikiams);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/marveles-upelio-slenio-sutvarkymas-panaudojant-teritorijos-gamtinio-karkaso-ypatumus-siekiant-netradiciniu-erdviu-pritaikymo-kulturos-ir-kt-reikmems-1;Vykdomas;239585,000000000000000;12036,667968750000000;449,041525355586771
-1;Kompleksiškas Kauko laiptų prie Aukštaičių gatvės zonos sutvarkymas;2017;2019;KMSA;VRM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1473386;R; ;574,812599249999948;Kompleksiškas Kauko laiptų prie Aukštaičių gatvės zonos sutvarkymas (paruošiant naujų dekoratyvinės dailės akcentų vietas, įrengiant mažosios architektūros formas, atnaujinant dekoratyvinį baseiną ir šaligatvių dangas, sutvarkant želdinius, rekonstruojant teritorijos apšvietimo ir stebėjimo sistemas, lietaus nuotekų sistemą);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kompleksiskas-kauko-laiptu-prie-aukstaiciu-gatves-zonos-sutvarkymas;Vykdomas;1400000,000000000000000;11852,415527343750000;1026,466143634585478
-1;VšĮ „Girstučio“ kultūros ir sporto centro (Kovo 11-osios g. 26 Kaune) kultūrinei veiklai naudojamos dalies rekonstravimas;2017;2019;VšĮ „Girstučio kultūros centras“;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1312960.7;R; ;397,940298960000007;VšĮ „Girstučio“ kultūros ir sporto centro (Kovo 11-osios g. 26 Kaune) kultūrinei veiklai naudojamos dalies rekonstravimas;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/vsi-girstucio-kulturos-ir-sporto-centro-kovo-11-osios-g-26-kaune-kulturinei-veiklai-naudojamos-dalies-rekonstravimas-1;Vykdomas;1312960,699999999953434;7527,276855468750000;380,965813582425710
-1;Nacionalinio M. K Čiurlionio dailės muziejaus padalinio M. Žilinsko dailės galerijos modernizavimas;2018;2020;Nacionalinis M. K. Čiurlionio muziejus;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);4923369;V; ;509,065385660000004;Nacionalinio M. K Čiurlionio dailės muziejaus padalinio M. Žilinsko dailės galerijos modernizavimas; ;Nepradėtas;4923369,000000000000000;10419,674316406250000;503,095440333688771
-1;Kauno valstybinio lėlių teatro pastato atnaujinimas;2016;2018;Kauno valstybinis lėlių teatras;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1543778;V; ;187,265310180000000;Kauno valstybinio lėlių teatro pastato atnaujinimas;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-valstybinio-leliu-teatro-pastato-atnaujinimas;Vykdomas;1543778,000000000000000;1438,575927734375000;173,612159763575733
-1;Kauno valstybinio muzikinio teatro modernizavimas;2017;2020;Kauno valstybinis muzikinis teatras;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);4982000;V; ;249,808949619999993;Kauno valstybinio muzikinio teatro modernizavimas;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-valstybinio-muzikinio-teatro-modernizavimas;Vykdomas;4982000,000000000000000;3108,359863281250000;258,737045923952223
-1;Kauno IX forto muziejaus modernizavimas;2018;2020;Kauno IX forto muziejus;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);2049854;V; ;808,680709480000019;Kauno IX forto muziejaus modernizavimas; ;Nepradėtas;2049854,000000000000000;33665,938964843750000;807,825165359506514
-1;Lietuvos aviacijos muziejaus modernizavimas;2018;2020;Lietuvos aviacijos muziejus;KM;Padidinti ūkinės veiklos įvairovę ir pagerinti sąlygas investicijų pritraukimui, siekiant kurti naujas darbo vietas tikslinėse teritorijose (miestuose);1857333;V; ;328,122642429999985;Lietuvos aviacijos muziejaus modernizavimas; ;Nepradėtas;1857333,000000000000000;1762,512939453125000;337,837737185956598
-1;Žaliakalnio švietimo įstaigų modernizavimas plėtojant vaikų ir jaunimo neformalaus ugdymo galimybes (A. Kačanausko vaikų muzikos mokykla);2017;2018;A. Kačanausko vaikų muzikos mokykla;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;41059;R; ;87,847183349999995;Žaliakalnio švietimo įstaigų modernizavimas plėtojant vaikų ir jaunimo neformalaus ugdymo galimybes (A. Kačanausko vaikų muzikos mokykla);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/zaliakalnio-svietimo-istaigu-modernizavimas-pletojant-vaiku-ir-jaunimo-neformaliojo-ugdymo-galimybes;Vykdomas;41059,000000000000000;528,640625000000000;104,776455870381085
-1;Aleksoto bendrojo ugdymo įstaigos modernizavimas didinant paslaugų efektyvumą (Prezidento Valdo Adamkaus gimnazija);2018;2020;KMSA;ŠMM;Padidinti bendrojo ugdymo ir neformaliojo švietimo įstaigų (ypač vykdančių ikimokyklinio ir priešmokyklinio ugdymo programas) tinklo veiklos efektyvumą;827908,37;R; ;767,216471479999996;Aleksoto bendrojo ugdymo įstaigos modernizavimas didinant paslaugų efektyvumą (Prezidento Valdo Adamkaus gimnazija);http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/aleksoto-bendrojo-ugdymo-istaigos-modernizavimas-didinant-paslaugu-efektyvuma;Vykdomas;827908,369999999995343;2077,604248046875000;367,333721679108976
-1;Kauno kartų namų (Sąjungos a. 13A) infrastruktūros modernizavimas ir pritaikymas senyvo amžiaus asmenims;2017;2019;KMSA;SADM;Padidinti bendruomenėje teikiamų socialinių paslaugų dalį pereinant nuo institucinės globos prie bendruomeninių paslaugų;1289496;R; ;255,862442429999987;Kauno kartų namų (Sąjungos a. 13A) infrastruktūros modernizavimas ir pritaikymas senyvo amžiaus asmenims;http://www.esinvesticijos.lt/lt/paraiskos_ir_projektai/kauno-kartu-namu-sajungos-a-13a-infrastrukturos-modernizavimas-ir-pritaikymas-senyvo-amziaus-asmenims;Vykdomas;1289496,000000000000000;3185,167724609375000;246,954608347790554
