OID;Budas;Name_1;SymbolID_1;Laikotarpis;Įvykiai;Žuvusieji;Sužeistieji;IP;Atlikimo_data;Aprašymas;Planuojama
-1;Juodosios dėmės ruožuose 2016;Baltijos g.;0;2012 - 2015 ;8;0;8;TAIP;2016;Didesnio atspindžio perėjos kelių eismo ženklai, saugumo salelė gatvės viduryje.; Kryptinis perėjos apšvietimas (II ketvirtis)
-1;Juodosios dėmės ruožuose 2016;Baltijos;0;2012 - 2015 ;4;0;4;TAIP;2016;Didesnio atspindžio perėjos kelių eismo ženklai, saugumo salelė gatvės viduryje.;Kryptinis perėjos apšvietimas (II ketvirtis)
-1;Juodosios dėmės ruožuose 2016;K. Baršausko g.;0;2012 - 2015 ;4;1;2;TAIP;2016;;Įrengta reguliuojama pėsčiųjų perėja
-1;Juodosios dėmės ruožuose 2016;K. Baršausko g.;0;2012 - 2015 ;4;1;2;TAIP;2016;;Įrengta reguliuojama pėsčiųjų perėja
-1;Juodosios dėmės ruožuose 2016;Draugystės g.;0;2012 - 2015 ;4;0;4;TAIP;2016;;Įrengta reguliuojama pėsčiųjų perėja
-1;Juodosios dėmės ruožuose 2016;Sukilėlių pr.;0;2012 - 2015 ;5;0;5;TAIP;2016;Uždrausti kairieji posūkiai ties pėsčiųjų perėja.;Reguliuojama pėsčiųjų perėja.
-1;Juodosios dėmės ruožuose 2016;A. Juozapavičiaus g.;0;2012 - 2015 ;4;0;5;TAIP;2016;;Įrengta pėsčiųjų salelė važiuojamosios dalies viduryje. 
-1;Juodosios dėmės ruožuose 2016;R. Kalantos;0;2012 - 2015 ;6;0;6;TAIP;2016;;Įrengta reguliuojama pėsčiųjų perėja.
-1;Juodosios dėmės ruožuose 2016;R. Kalantos g.;0;2012 - 2015 ;5;0;5;TAIP;2016;Įrengti ddesnio atspindžio kelių eismo ženklai, kryptinis pėsčiųjų perėjos apšvietimas.;
-1;Juodosios dėmės ruožuose 2016;Kalniečių g.;0;2012 - 2015 ;4;0;6;TAIP;2016;;Apribotas maksimalus leistinas greitis iki 30 km. h., įrengti STOP išvažiuojant iš Algirdo gatvės.
-1;Juodosios dėmės ruožuose 2016;Kovo 11- osios g.;0;2012 - 2015 ;7;1;6;TAIP;2016;;Įrengta išmanioji pėsčiųjų perėja, kryptinis perėjos apšvietimas.
